Code,UIC,Bahnhof,Kanton,ISB_GI,Jahr,DTV,DWV,DNWV,EVU,lon,lat
AAT,8503124,Aathal,ZH,SBB,2018,740,800,610,SBB,8.765625135347072,47.3359591338364
AB,8507472,Ausserberg,VS,BLS,2018,180,160,210,BLS,7.8441670280993065,46.31234824494208
ABE,8504404,Aarberg,BE,SBB,2022,520,580,400,BLS,7.278692565659158,47.04454127724739
ABE,8504404,Aarberg,BE,SBB,2023,580,620,460,BLS,7.278692565659158,47.04454127724739
ABO,8502000,Aarburg-Oftringen,AG,SBB,2022,2500,2900,1500,SBB,7.908222606719322,47.320268469495055
ADZ,8509266,Ardez,GR,RhB,2018,240,250,240,RhB,10.201050002018793,46.77354000085688
AEF,8508085,Aefligen,BE,BLS,2023,410,480,250,BLS,7.559253217679386,47.0955935107256
ALLI,8501378,Allières,FR,MOB,2022,60,49,110,MOB,7.007889997112573,46.46981999615583
ALLI,8501378,Allières,FR,MOB,2023,50,50,60,MOB,7.007889997112573,46.46981999615583
ALN,8506125,Altnau,TG,SBB,2023,400,400,380,Thurbo,9.265917958555868,47.62136793230426
ALT,8506319,Altstätten SG,SG,SBB,2023,4300,4900,2800,"SBB, SOB, Thurbo",9.556519883564428,47.374234807062635
AND,8505165,Andermatt,UR,MGB,2018,2700,2500,3100,MGB,8.593280416936754,46.636890087679205
ARB,8506308,Arbon,TG,SBB,2018,1700,1900,1300,Thurbo,9.433358582621896,47.510587732978976
AT,8503292,Altmatt,SZ,SOB,2022,49,49,49,SOB,8.696146759571949,47.1316520243425
ATOS,8530801,Aareschlucht Ost (Bahn),BE,ZB,2022,170,140,240,Zentralbahn,8.217895203012437,46.71200007733443
AU,8503205,Au ZH,ZH,SBB,2022,890,1000,630,"SBB, SOB",8.643725909034172,47.2468179444234
AU,8503205,Au ZH,ZH,SBB,2023,1100,1200,860,"SBB, SOB",8.643725909034172,47.2468179444234
AUSG,8506316,Au SG,SG,SBB,2023,460,520,320,"SOB, Thurbo",9.641259107516396,47.436115820448194
AVA,8501377,Les Avants,VD,MOB,2018,210,210,220,MOB,6.943320001019096,46.453809996508014
AW,8506109,Amriswil,TG,SBB,2022,2900,3300,2200,"SBB, Thurbo",9.30222720092554,47.550449721216765
AX,8501107,Arnex,VD,SBB,2022,200,240,110,SBB,6.51890716328841,46.6980776528438
BAA,8502206,Baar,ZG,SBB,2023,8700,10100,5400,"SBB, SOB",8.523271537389258,47.19536403756802
BAAL,8515993,Baar Lindenpark,ZG,SBB,2018,1400,1700,560,SBB,8.517058460139534,47.18313669446829
BAAL,8515993,Baar Lindenpark,ZG,SBB,2022,1100,1300,490,SBB,8.517058460139534,47.18313669446829
BAE,8503208,Bäch SZ,SZ,SBB,2022,400,450,280,SBB,8.727174268610481,47.200981641925814
BAE,8503208,Bäch SZ,SZ,SBB,2023,490,550,360,"SBB, SOB",8.727174268610481,47.200981641925814
BAL,8505306,Balerna,TI,SBB,2022,660,800,320,SBB,9.005035609410806,45.84674505678704
BCHX,8530261,Bois-de-Chexbres,VD,MVR,2018,49,49,49,MOB,6.901529994631869,46.47327999986844
BCT,8500128,Boncourt,JU,SBB,2022,220,260,130,SBB,7.016551752254877,47.49263186836306
BCT,8500128,Boncourt,JU,SBB,2023,240,290,130,SBB,7.016551752254877,47.49263186836306
BD,8503504,Baden,AG,SBB,2022,27200,30100,20200,SBB,8.307709474036757,47.476424284622105
BDFS,8508081,Burgdorf Steinhof,BE,BLS,2023,1500,1800,850,BLS,7.6195394294912155,47.05119989376763
BDR,8504208,Boudry,NE,SBB,2022,370,400,310,SBB,6.835047623990482,46.95945708722832
BEBR,8509197,Bergün/Bravuogn,GR,RhB,2023,990,880,1200,RhB,9.746749998497549,46.63106999556754
BELL,8500205,Bellach,SO,SBB,2022,670,790,380,SBB,7.507825396241335,47.20887878167503
BEMG,8501675,Betten Talstation,VS,MGB,2018,800,700,1000,MGB,8.07651985295806,46.37115787247767
BEMG,8501675,Betten Talstation,VS,MGB,2022,700,600,920,MGB,8.07651985295806,46.37115787247767
BERG,8506194,Berg,TG,SBB,2018,330,380,230,Thurbo,9.173921928906056,47.582489130476986
BERG,8506194,Berg,TG,SBB,2023,310,340,240,Thurbo,9.173921928906056,47.582489130476986
BET,8500203,Bettlach,SO,SBB,2018,640,800,310,SBB,7.428373016753346,47.194949414701796
BET,8500203,Bettlach,SO,SBB,2022,560,670,300,SBB,7.428373016753346,47.194949414701796
BG,8500309,Brugg AG,AG,SBB,2023,22300,25200,15600,SBB,8.208844553488955,47.48085983498152
