Code_Codice;UIC;Bahnhof_Gare_Stazione;Kt_Ct_Cantone;ISB_GI;Jahr_Annee_Anno;DTV_TJM_TGM;DWV_TMJO_TFM;DNWV_TMJNO_TMGNL;EVU_EF_ITF;Bemerkung;Bemerkungen;Note;Bemerkungen;Geoposition;lod
AAT;8503124.0;Aathal;ZH;SBB;2018;740.0;800.0;610.0;SBB;;;;;47.3359591338364, 8.765625135347072;http://lod.opentransportdata.swiss/didok/didok85
AB;8507472.0;Ausserberg;VS;BLS;2018;180.0;160.0;210.0;BLS;;;;;46.31234824494208, 7.8441670280993065;http://lod.opentransportdata.swiss/didok/didok85
ABE;8504404.0;Aarberg;BE;SBB;2022;520.0;580.0;400.0;BLS;;;;;47.04454127724739, 7.278692565659158;http://lod.opentransportdata.swiss/didok/didok85
ABE;8504404.0;Aarberg;BE;SBB;2023;580.0;620.0;460.0;BLS;;;;;47.04454127724739, 7.278692565659158;http://lod.opentransportdata.swiss/didok/didok85
ABO;8502000.0;Aarburg-Oftringen;AG;SBB;2022;2500.0;2900.0;1500.0;SBB;;;;;47.320268469495055, 7.908222606719322;http://lod.opentransportdata.swiss/didok/didok85
ADZ;8509266.0;Ardez;GR;RhB;2018;240.0;250.0;240.0;RhB;;;;;46.77354000085688, 10.201050002018793;http://lod.opentransportdata.swiss/didok/didok85
AEF;8508085.0;Aefligen;BE;BLS;2023;410.0;480.0;250.0;BLS;;;;;47.0955935107256, 7.559253217679386;http://lod.opentransportdata.swiss/didok/didok85
ALLI;8501378.0;Allières;FR;MOB;2022;60.0;49.0;110.0;MOB;49: weniger als 50 Ein- und Aussteigende.;49: moins de 50 personnes.;49: meno di 50 persone.;49: fewer than 50 persons.;46.46981999615583, 7.007889997112573;http://lod.opentransportdata.swiss/didok/didok85
ALLI;8501378.0;Allières;FR;MOB;2023;50.0;50.0;60.0;MOB;;;;;46.46981999615583, 7.007889997112573;http://lod.opentransportdata.swiss/didok/didok85
ALN;8506125.0;Altnau;TG;SBB;2023;400.0;400.0;380.0;Thurbo;;;;;47.62136793230426, 9.265917958555868;http://lod.opentransportdata.swiss/didok/didok85
ALT;8506319.0;Altstätten SG;SG;SBB;2023;4300.0;4900.0;2800.0;SBB, SOB, Thurbo;;;;;47.374234807062635, 9.556519883564428;http://lod.opentransportdata.swiss/didok/didok85
AND;8505165.0;Andermatt;UR;MGB;2018;2700.0;2500.0;3100.0;MGB;;;;;46.636890087679205, 8.593280416936754;http://lod.opentransportdata.swiss/didok/didok85
ARB;8506308.0;Arbon;TG;SBB;2018;1700.0;1900.0;1300.0;Thurbo;;;;;47.510587732978976, 9.433358582621896;http://lod.opentransportdata.swiss/didok/didok85
AT;8503292.0;Altmatt;SZ;SOB;2022;49.0;49.0;49.0;SOB;49: weniger als 50 Ein- und Aussteigende.;49: moins de 50 personnes.;49: meno di 50 persone.;49: fewer than 50 persons.;47.1316520243425, 8.696146759571949;http://lod.opentransportdata.swiss/didok/didok85
ATOS;8530801.0;Aareschlucht Ost (Bahn);BE;ZB;2022;170.0;140.0;240.0;Zentralbahn;;;;;46.71200007733443, 8.217895203012437;http://lod.opentransportdata.swiss/didok/didok85
AU;8503205.0;Au ZH;ZH;SBB;2022;890.0;1000.0;630.0;SBB, SOB;;;;;47.2468179444234, 8.643725909034172;http://lod.opentransportdata.swiss/didok/didok85
